,"Document Description List
Updated 04/27/2022 - See tab ""list of changes""",,,,,,,,,,
Application Part,Documents submitted with 371 (National Stage) Applications                                                                                       ,"For an international application designating the United States, to begin the national stage, an applicant files International Bureau documents including the international application, a translation if necessary, and other documents such as an international search report and a preliminary examination report.",371P        ,"371
371","NEW
FOLLOWON",,,,,,
Application Part,Abstract                                                                                                                        ,"A portion of the application, as submitted by the applicant, that gives a brief overview of the disclosed invention.",ABST        ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
Application Part,Application Data Sheet                                                                                                          ,"The application data sheet is a sheet voluntarily submitted in either provisional or nonprovisional applications and contains bibliographic data, arranged in a format specified by the USPTO in 37 CFR § 1.76. Supplemental application data sheets may be submitted prior to payment of the issue fee either to correct or update information in a previously submitted application data sheet.",ADS         ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
PROVSNL
PROVSNL
REEXAM
REEXAM
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
FOLLOWON",,,,,,
Application Part,Chemical Formulae (Text File)                                                                                                   ,"Applicants may file supplemental chemical content in InChI text format (i.e., .txt file) to facilitate prosecution of application.",APP.TXT.CHEM,"371
371
AE_UTILITY
PROVSNL
PROVSNL
SUPP EXAM (REEXAM ORDERED)
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
FOLLOWON
FOLLOWON
NEW
NEW
FOLLOWON",,,,,,
Application Part,Mathematical Formulae (Text File)                                                                                               ,"Applicants may file supplemental mathematical content in MathML text format (i.e., .txt file) to facilitate prosecution of application.",APP.TXT.MATH,"371
371
AE_UTILITY
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
FOLLOWON",,,,,,
Application Part,3D Protein Crystals (Text File)                                                                                                 ,"Applicants may file supplemental protein structure content in PDB-compatible text format (i.e., .txt file) to facilitate prosecution of application.",APP.TXT.PDB ,"371
371
AE_UTILITY
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
FOLLOWON",,,,,,
Application Part,Appendix to the Specification                                                                                                   ,A sequence listing table or a computer program of greater than a specified size must be submitted as an appendix to the specification and be provided on a compact disc.,APPENDIX    ,"371
371
AE_DESIGN
DESIGN
DESIGN
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON
FOLLOWON",,,,,,
Application Part,Claims                                                                                                                          ,The claim is that part of a patent application particularly pointing out and distinctly claiming the subject matter which the applicant regards as the invention or discovery.,CLM         ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON
FOLLOWON",,,,,,
Application Part,Computer Listing (text file)                                                                                                               ,"Computer program listings may be submitted in patent applications when necessary for the purpose of providing the appropriate sequence of instructions, routines, and other contents of a program for a computer. If the computer program listing is sufficiently short, it may be submitted either as drawings or as part of the specification. Longer computer program listings must be submitted on a compact disc. A compact disc containing such a computer program listing is referred to as a ""."" The not be part of the printed patent.",COMPUTER    ,"371
371
AE_UTILITY
PROVSNL
PROVSNL
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_UTILITY
UTILITY
UTILITY
PGPUB","NEW
FOLLOWON
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
FOLLOWON
FOLLOWON",,,,,,
Application Part,Terminal Disclaimer Filed                                                                                                       ,"A timely filed terminal disclaimer may be filed by applicant to overcome an actual or provisional rejection based on a nonstatutory double patenting ground provided the conflicting application or patent is shown to be commonly owned with this application. The purpose of a terminal disclaimer is to obviate a double patenting rejection by removing the potential harm to the public by issuing a second patent, and not to remove a patent as prior art. (For Example:  PTO/SB/25 or PTO/SB/26)",DIST        ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
